accession	tissues	assay_name
PXD005978	"[""blood""]"	b1370p30_S8_R9150_Basal
PXD005978	"[""blood""]"	b1370p42S11R_TP_R3762
PXD005978	"[""blood""]"	b1370p30_S29_R9318_Basal_R
PXD005978	"[""blood""]"	b1370p42S23R_TP_T5062
PXD005978	"[""blood""]"	b1370p42S10_TP_R3221
PXD005978	"[""blood""]"	b1370p42S14_TP_T1820
PXD005978	"[""blood""]"	b1370p42S24R_TP_T6591
PXD005978	"[""blood""]"	b1370p42S13_TP_R7919
PXD012615	"[""liver""]"	20180821_QX8_JRW_SA_L_KK40
PXD012615	"[""liver""]"	20180821_QX8_JRW_SA_L_KK37
PXD012615	"[""liver""]"	20180821_QX8_JRW_SA_CT_KK39
PXD012615	"[""liver""]"	20180821_QX8_JRW_SA_T_KK45
PXD012615	"[""liver""]"	20180821_QX8_JRW_SA_T_KK35
PXD012615	"[""liver""]"	20180821_QX8_JRW_SA_CT_KK45
PXD012615	"[""liver""]"	20180821_QX8_JRW_SA_T_KK37
PXD012615	"[""liver""]"	20180821_QX8_JRW_SA_CT_KK35
PXD012615	"[""liver""]"	20180821_QX8_JRW_SA_CT_KK44
PXD012615	"[""liver""]"	20180821_QX8_JRW_SA_L_KK34
PXD012615	"[""liver""]"	20180821_QX8_JRW_SA_T_KK36
PXD012615	"[""liver""]"	20180821_QX8_JRW_SA_T_KK41
PXD012615	"[""liver""]"	20180821_QX8_JRW_SA_L_KK35
PXD012615	"[""liver""]"	20180821_QX8_JRW_SA_L_KK45
PXD012615	"[""liver""]"	20180821_QX8_JRW_SA_L_KK41
PXD012615	"[""liver""]"	20180821_QX8_JRW_SA_CT_KK37
PXD012615	"[""liver""]"	20180821_QX8_JRW_SA_T_KK39
PXD012615	"[""liver""]"	20180821_QX8_JRW_SA_CT_KK38
PXD012615	"[""liver""]"	20180821_QX8_JRW_SA_L_KK36
PXD012615	"[""liver""]"	20180821_QX8_JRW_SA_T_KK42
PXD012615	"[""liver""]"	20180821_QX8_JRW_SA_CT_KK40
PXD012615	"[""liver""]"	20180821_QX8_JRW_SA_CT_KK42
