model;fold;micro_f1;macro_f1;weighted_f1;cm;Imputation;Normalization;PXD
LGBMClassifier;3;0.25;0.1;0.4;"[[0 0 0 0]
 [0 0 0 0]
 [1 1 1 1]
 [0 0 0 0]]";KNN+LOD;NSAF;PXD006035
LogisticRegression;3;0.0;0.0;0.0;"[[0 0 0 0]
 [0 0 0 0]
 [1 1 0 2]
 [0 0 0 0]]";KNN+LOD;ComBat;PXD006035
SVC;3;0.0;0.0;0.0;"[[0 0 0 0]
 [0 0 0 0]
 [1 1 0 2]
 [0 0 0 0]]";KNN+LOD;ComBat;PXD006035
RandomForestClassifier;3;0.0;0.0;0.0;"[[0 0 0]
 [0 0 0]
 [2 2 0]]";KNN+LOD;ComBat;PXD006035
LGBMClassifier;3;0.0;0.0;0.0;"[[0 0 0 0 0]
 [0 0 0 0 0]
 [1 1 0 1 1]
 [0 0 0 0 0]
 [0 0 0 0 0]]";KNN+LOD;ComBat;PXD006035
LogisticRegression;3;1.0;1.0;1.0;[[4]];KNN+LOD;Quantile;PXD006035
SVC;3;0.75;0.4285714285714285;0.8571428571428571;"[[0 0]
 [1 3]]";KNN+LOD;Quantile;PXD006035
RandomForestClassifier;3;0.0;0.0;0.0;"[[0 0]
 [4 0]]";KNN+LOD;Quantile;PXD006035
LGBMClassifier;3;0.5;0.3333333333333333;0.6666666666666666;"[[0 0]
 [2 2]]";KNN+LOD;Quantile;PXD006035
LogisticRegression;3;1.0;1.0;1.0;[[4]];KNN+LOD;Median Norm;PXD006035
SVC;3;1.0;1.0;1.0;[[4]];KNN+LOD;Median Norm;PXD006035
RandomForestClassifier;3;0.25;0.2;0.4;"[[0 0]
 [3 1]]";KNN+LOD;Median Norm;PXD006035
LGBMClassifier;3;1.0;1.0;1.0;[[4]];KNN+LOD;Median Norm;PXD006035
LogisticRegression;3;0.0;0.0;0.0;"[[0 0 0]
 [0 0 0]
 [2 2 0]]";PCA+LOD;NSAF;PXD006035
SVC;3;0.0;0.0;0.0;"[[0 0 0]
 [0 0 0]
 [1 3 0]]";PCA+LOD;NSAF;PXD006035
RandomForestClassifier;3;0.0;0.0;0.0;"[[0 0 0]
 [0 0 0]
 [3 1 0]]";PCA+LOD;NSAF;PXD006035
LGBMClassifier;3;0.0;0.0;0.0;"[[0 0 0 0 0]
 [0 0 0 0 0]
 [1 1 0 1 1]
 [0 0 0 0 0]
 [0 0 0 0 0]]";PCA+LOD;NSAF;PXD006035
LogisticRegression;3;0.0;0.0;0.0;"[[0 0 0]
 [0 0 0]
 [3 1 0]]";PCA+LOD;ComBat;PXD006035
SVC;3;0.0;0.0;0.0;"[[0 0 0]
 [0 0 0]
 [2 2 0]]";PCA+LOD;ComBat;PXD006035
RandomForestClassifier;3;0.0;0.0;0.0;"[[0 0 0]
 [0 0 0]
 [2 2 0]]";PCA+LOD;ComBat;PXD006035
LGBMClassifier;3;0.0;0.0;0.0;"[[0 0 0 0 0]
 [1 0 1 1 1]
 [0 0 0 0 0]
 [0 0 0 0 0]
 [0 0 0 0 0]]";PCA+LOD;ComBat;PXD006035
LogisticRegression;3;0.5;0.3333333333333333;0.6666666666666666;"[[0 0]
 [2 2]]";PCA+LOD;Quantile;PXD006035
SVC;3;0.0;0.0;0.0;"[[0 0]
 [4 0]]";PCA+LOD;Quantile;PXD006035
RandomForestClassifier;3;0.0;0.0;0.0;"[[0 0]
 [4 0]]";PCA+LOD;Quantile;PXD006035
LGBMClassifier;3;0.5;0.3333333333333333;0.6666666666666666;"[[0 0]
 [2 2]]";PCA+LOD;Quantile;PXD006035
LogisticRegression;3;0.5;0.3333333333333333;0.6666666666666666;"[[0 0]
 [2 2]]";PCA+LOD;Median Norm;PXD006035
SVC;3;0.0;0.0;0.0;"[[0 0]
 [4 0]]";PCA+LOD;Median Norm;PXD006035
RandomForestClassifier;3;0.0;0.0;0.0;"[[0 0]
 [4 0]]";PCA+LOD;Median Norm;PXD006035
LGBMClassifier;3;0.25;0.1;0.4;"[[0 0 0 0]
 [1 1 1 1]
 [0 0 0 0]
 [0 0 0 0]]";PCA+LOD;Median Norm;PXD006035
LogisticRegression;3;0.5;0.3333333333333333;0.6666666666666666;"[[0 0]
 [2 2]]";Shifted Gaussian;NSAF;PXD006035
SVC;3;0.0;0.0;0.0;"[[0 0]
 [4 0]]";Shifted Gaussian;NSAF;PXD006035
RandomForestClassifier;3;0.5;0.3333333333333333;0.6666666666666666;"[[0 0]
 [2 2]]";Shifted Gaussian;NSAF;PXD006035
LGBMClassifier;3;0.25;0.2;0.4;"[[0 0]
 [3 1]]";Shifted Gaussian;NSAF;PXD006035
LogisticRegression;3;0.0;0.0;0.0;"[[0 0]
 [4 0]]";Shifted Gaussian;ComBat;PXD006035
SVC;3;0.0;0.0;0.0;"[[0 0]
 [4 0]]";Shifted Gaussian;ComBat;PXD006035
RandomForestClassifier;3;0.0;0.0;0.0;"[[0 0]
 [4 0]]";Shifted Gaussian;ComBat;PXD006035
LGBMClassifier;3;0.0;0.0;0.0;"[[0 0 0]
 [2 0 2]
 [0 0 0]]";Shifted Gaussian;ComBat;PXD006035
LogisticRegression;3;1.0;1.0;1.0;[[4]];Shifted Gaussian;Quantile;PXD006035
SVC;3;0.0;0.0;0.0;"[[0 0]
 [4 0]]";Shifted Gaussian;Quantile;PXD006035
RandomForestClassifier;3;0.75;0.4285714285714285;0.8571428571428571;"[[0 0]
 [1 3]]";Shifted Gaussian;Quantile;PXD006035
LGBMClassifier;3;0.75;0.4285714285714285;0.8571428571428571;"[[0 0]
 [1 3]]";Shifted Gaussian;Quantile;PXD006035
LogisticRegression;3;0.75;0.4285714285714285;0.8571428571428571;"[[0 0]
 [1 3]]";Shifted Gaussian;Median Norm;PXD006035
SVC;3;0.0;0.0;0.0;"[[0 0]
 [4 0]]";Shifted Gaussian;Median Norm;PXD006035
RandomForestClassifier;3;0.25;0.2;0.4;"[[0 0]
 [3 1]]";Shifted Gaussian;Median Norm;PXD006035
LGBMClassifier;3;0.5;0.3333333333333333;0.6666666666666666;"[[0 0]
 [2 2]]";Shifted Gaussian;Median Norm;PXD006035
LogisticRegression;3;0.0;0.0;0.0;"[[0 0 0 0 0]
 [1 0 1 1 1]
 [0 0 0 0 0]
 [0 0 0 0 0]
 [0 0 0 0 0]]";KNNImpute;NSAF;PXD006035
SVC;3;0.0;0.0;0.0;"[[0 0]
 [4 0]]";KNNImpute;NSAF;PXD006035
